skill,count,clean_skill,skill_group,Period Table Group
sql tableau marketing analysis,1,Tableau,Visualization,Data Visualization & Reporting
tableau/ raw /chart.js/data visualization,1,Tableau,Visualization,Data Visualization & Reporting
tableu,1,Tableau,Visualization,Data Visualization & Reporting
and supervised algorithms.,1,Algorithm,Machine Learning,Machine Learning & Stats
principal data scientist skills: analytics - statistics - machine learning - ml - data models - big data - pricing revenue - retail - cloud - price optimization - r - python,1,Analytics,,Data Visualization & Reporting
ansible,1,Ansible,Automation tools,needs input
and application development,1,Application Development,General Skill,needs input
automation - machine learning,1,Automation,General Skill,Search & Data Management
backend coding,1,Backend Coding,General Skill,Search & Data Management
and behavioral modeling and simulation for bfs/retail,1,Behavioral Modeling,Domain Expertise,needs input
benchmark,1,Benchmark,,needs input
blueprint,1,Blueprint,,needs input
data analyst and capacity and visualization and sql and azure,1,Capacity,,needs input
chaid,1,CHAID,Machine Learning,Machine Learning & Stats
cloudbase,1,CloudBase,Cloud Computing,Search & Data Management
cloundera,1,Cloudera,Cloud Computing,Search & Data Management
ai & cognitive technology,1,Cognitive Technology,AI,Machine Learning & Stats
computer,1,Computer,,needs input
computer engineering,1,Computer Engineering,,needs input
cplex,1,CPLEX,Optimization tools,needs input
crm - python,1,CRM,Domain Knowledge,needs input
customer service,1,Customer Service,Domain Knowledge,needs input
business analyst and data and sql,1,Data,,needs input
data scientist machine learning statistical modeling database data python r cloud,1,Data,,needs input
etl; data; spark; hive; extract; transform; load; sql; aws; design; data sets,1,Data,Database Technology,Search & Data Management
(data scientist ) and (data analysis or running data pipelines ) and(machine learning or matlab ) and(python ),1,Data Pipelines,Data Engineering,Search & Data Management
data pipelines,1,Data Pipelines,Data Engineering,Search & Data Management
data scientist data pipeline modeling data engineer r sas python spark machine learning,1,Data Pipelines,Data Engineering,Search & Data Management
biomedical - data science,1,Data Science,,needs input
data science - python,1,Python,,Programming Languages & Distributions
data science analytics networks machine learning tensorflow,1,Machine Learning,,Machine Learning & Stats
data science and implementations in python,1,Python,,Programming Languages & Distributions
data science python,1,Python,,Programming Languages & Distributions
data science; statistics,1,Statistics,,Machine Learning & Stats
data science/ai/machine learning,1,Machine Learning,,Machine Learning & Stats
data sciences,1,Data Science,,needs input
data-science,1,Data Science,,needs input
life science - data science,1,Data Science,,needs input
machine learning/data science/data scientist,1,Data Science,,needs input
must have skills: data science python sas,1,Data Science,,needs input
prior teaching experience (not essential) - data science,1,Data Science,,needs input
python - data science,1,Data Science,,Machine Learning & Stats
python software developer background; ml; data science; system programming; webservices,1,Data Science,,needs input
teaching technical concepts - data science,1,Data Science,,needs input
etl; data; spark; hive; extract; transform; load; sql; aws; design; data sets,1,Data Sets,,needs input
data streaming,1,Data Streaming,,needs input
dax,1,DAX,,needs input
etl; data; spark; hive; extract; transform; load; sql; aws; design; data sets,1,Design,,needs input
development(java),1,Development,,Programming Languages & Distributions
etl development,1,Development,,Search & Data Management
devops,1,DevOps,,needs input
distributed computing,1,Distributed Computing Environment,Database Technology,Search & Data Management
distributed computing - big data,1,Distributed Computing Environment,Database Technology,Search & Data Management
domino,1,Domino,,needs input
dynamodb,1,DynamoDB,Database Technology,needs input
elastic search,1,Elasticsearch,Search tools,Search & Data Management
engineering,1,Engineering,,needs input
erwin,1,Erwin,Data Modeling,Machine Learning & Stats
erwin r7.0,1,Erwin,Data Modeling,Machine Learning & Stats
microsoft excel,1,Excel,Spreadsheet,Data Visualization & Reporting
3+ years experience doing data science with r and python in a professional,1,Experience,,needs input
5+ years of experience in a similar role and experience in web attribution analytics.,1,Experience,,needs input
7 years of progressively increasing responsibilities (marketing,1,Experience,,needs input
9+ years of demonstrated experience leading teams,1,Experience,,needs input
at least 2 to 4 years professional experience in nlp,1,Experience,,needs input
cloud infrastructure and threat intelligenceexperience with data visualization and programming languages,1,Experience,,needs input
data scientist level 1 experience with data sets,1,Experience,,needs input
experience using statistical computer languages (r,1,Experience,,needs input
experience with machine learning,1,Experience,,needs input
financial data experience,1,Experience,,needs input
financial experience,1,Experience,,needs input
fintech exp,1,Experience,,needs input
masters degree with 5 years of experience in creating machine learning pipelines,1,Experience,,needs input
flash,1,Flash,,needs input
forecast,1,Forecast,Statistics,Machine Learning & Stats
full funnel analytics,1,Full Funnel Analytics,,needs input
full funnel analytics - marketing analytics,1,Full Funnel Analytics,,needs input
full stack,1,Full Stack,,needs input
graphics,1,Graphics,,needs input
h2o or azure ml,1,H2O,,Machine Learning & Stats
image analytics,1,Image Analytics,AI,Machine Learning & Stats
image analytics - python,1,Image Analytics,AI,Machine Learning & Stats
hdfs/ hive/ impala,1,Impala,Database Technology,Search & Data Management
ieor,1,Industrial Engineering and Operations Research,Academic department,Domain Expertise
reinforcement learningm probabistic inference,1,Inference,Machine Learning,Machine Learning & Stats
big data management tools i.e. informatica bdm/idl/eic/idq,1,Informatica,Cloud Computing,Search & Data Management
iterative development,1,Iterative Development,Methodology,needs input
jdbc,1,Java Database Connectivity,Programming Language,Search & Data Management
jda software,1,JDA Software,Supply Chain,needs input
machine learning jda software,1,JDA Software,Supply Chain,needs input
kafka,1,Kafka,Development tool (real-time data),Search & Data Management
postgres) kafka,1,Kafka,Development tool (real-time data),Search & Data Management
presto - kafka,1,Kafka,Development tool (real-time data),Search & Data Management
kaggle,1,Kaggle,Competition,"Projects & Challenges, Competitions"
etc. o excellent understanding of fundamental machine learning techniques and algorithms,1,Knowledge,Machine Learning,needs input
kubernates,1,Kubernetes,Containers,needs input
labeling,1,Labeling,,needs input
laboratory,1,Laboratory,,needs input
lambda functions,1,Lambda Functions,Mathematical,Machine Learning & Stats
lambda tier,1,Lambda Functions,Mathematical,Machine Learning & Stats
linear,1,Linear,Methodology,needs input
logging systems,1,Logging Systems,,needs input
materials,1,Materials,,needs input
quantitative and mathematical proficiency,1,Mathematical Proficiency,Mathematical,Machine Learning & Stats
microservices,1,Microservices,,needs input
microsoft,1,Microsoft,,needs input
microstrategy,1,Microstrategy,,Data Visualization & Reporting
middleware,1,Middleware,,needs input
data scientist data pipeline modeling data engineer r sas python spark machine learning,1,Modeling,,Machine Learning & Stats
data scientist machine learning statistical modeling database data python r cloud,1,Modeling,,Machine Learning & Stats
natural programmer,1,Natural Programmer,,Programming Languages & Distributions
networking,1,Networking,,Search & Data Management
networking architecture,1,Networking,,Search & Data Management
data science analytics networks machine learning tensorflow,1,Networks,,Machine Learning & Stats
python (including numpy,1,Numpy,Programming Language,Programming Languages & Distributions
operating,1,Operating,,needs input
optimization,1,Optimization,Mathematical Technique,Machine Learning & Stats
(toolkits like pandas,1,Pandas,Programming Language,Programming Languages & Distributions
scipy & pandas),1,Pandas,Programming Language,Programming Languages & Distributions
performance,1,Performance,,needs input
expertise/experience working on cloud platforms - pivotal cloud foundry and public cloud aws/azure/google cloud.,1,Pivotal Cloud Foundry,Cloud Computing,Search & Data Management
expertise/experience working on cloud platforms - pivotal cloud foundry and public cloud aws/azure/google cloud. should have hands on experience configuring and onboarding users including developer,1,Pivotal Cloud Foundry,Cloud Computing,Search & Data Management
infrastructure/platform design,1,Platform,,needs input
business analyst data scientist r python jira github tableau powerbi statistics,1,PowerBI,Visualization,Data Visualization & Reporting
microsoft powerbi,1,PowerBI,Visualization,Data Visualization & Reporting
power bi,1,PowerBI,Visualization,Data Visualization & Reporting
powerpoint,1,PowerPoint,,Data Visualization & Reporting
presto,1,Presto,,Search & Data Management
presto - kafka,1,Presto,,Search & Data Management
process reengineering,1,Process Reengineering,Domain Expertise,needs input
sales or product development function) within a data driven organization,1,Product Development,,needs input
cloud infrastructure and threat intelligenceexperience with data visualization and programming languages,1,Programming Languages,,Programming Languages & Distributions
protocols,1,Protocols,,needs input
puppet,1,Puppet,,needs input
pydata,1,Pydata,,Conferences
pyspark hadoop,1,Pyspark,Database Tecnology,needs input
pythin,1,Pythin,,Programming Languages & Distributions
rabbitmq,1,RabbitMQ,,needs input
(machine learning ) and (artificial intelligence ) and (rafa ),1,Rafa,,needs input
machine learning ; predictive analytics; neural network ; decision tree ; random forest ; linear regression ; python or r or sas; datarobot; sql; nosql,1,Random Forest,Machine Learning,Machine Learning & Stats
or recommender systems,1,Recommender Systems,Machine Learning,Machine Learning & Stats
recommendation,1,Recommender Systems,Machine Learning,Machine Learning & Stats
rnn,1,Recurrent Neural Network,Machine Learning,Machine Learning & Stats
data warehouse reporting,1,Reporting,General Skill,Data Visualization & Reporting
report,1,Reporting,General Skill,Data Visualization & Reporting
reporting,1,Reporting,General Skill,Data Visualization & Reporting
reporting service (ssrs),1,Reporting,General Skill,Data Visualization & Reporting
reporting&etl,1,Reporting,General Skill,Data Visualization & Reporting
redshift; s3,1,S3,,needs input
saas,1,SaaS,,needs input
sagemaker,1,SageMaker,,needs input
sap isu,1,SAP,Database Technology,Search & Data Management
scheduling,1,Scheduling,,needs input
scikit-learn data visualization (matplotlib,1,Scikit-Learn,Machine Learning,Machine Learning & Stats
sklearn,1,Scikit-Learn,Machine Learning,Machine Learning & Stats
scipy & pandas),1,Scipy,Programming Language - Mathematical,Programming Languages & Distributions
seaborn,1,Seaborn,,Data Visualization & Reporting
machine learning and supervised machine learning to cybersecurity or fraud detectionworking knowledge of security detection tools,1,Security,,needs input
network/ security,1,Security,,needs input
share knowledge and build a world class security platform,1,Security,,needs input
test ng/selenium,1,Selenium,Test automation,Programming Languages & Distributions
snowflake,1,Snowflake,,needs input
software development,1,Software Development,General Skill,needs input
sdlc,1,Software Development Life Cycle,General Skill,needs input
sosql,1,SOSQL,,Search & Data Management
spend analysis,1,Spend Analysis,,needs input
splunk,1,Splunk,,Search & Data Management
wps or spss or python prefer: sql server,1,SQL Server,Database Technology,Search & Data Management
integration service (ssis),1,SQL Server,Database Technology,Search & Data Management
sgml,1,Standard Generalized Markup Language,,needs input
corenlp,1,Stanford CoreNLP,Natural Language Processing,Machine Learning & Stats
stanford,1,Stanford CoreNLP,Natural Language Processing,Machine Learning & Stats
stanford corenlp,1,Stanford CoreNLP,Natural Language Processing,Machine Learning & Stats
sprocs,1,Stored Procedure,Database Technology,Search & Data Management
structured and unstructured data,1,Structured Data,General Skill,Machine Learning & Stats
supplier campaign tracking,1,Supplier Campaign Tracking,Domain Expertise,needs input
supply chain forecasting,1,Supply Chain,Domain Expertise,needs input
svm,1,Support Vector Machines,Machine Learning,needs input
sybase,1,Sybase,Database Technology,Search & Data Management
python software developer background; ml; data science; system programming; webservices,1,System Programming,General Skill,needs input
systems,1,Systems,,needs input
t-sql,1,T-SQL,Database Technology,Search & Data Management
(digital tag over 0.2 year(s) or tag management over 0.2 year(s) or tagging over 0.2 year(s) or tealium over 0.2 year(s) or piwik pro over 0.2 year(s) or pixel over 0.2 year(s) or qubit over 0.2 year(s) or opentag over 0.2 year(s) or open tag over 0.2 year(s) or ensighten over 0.2 year(s) or google tag over 0.2 year(s) or dynamic tag management over 0.2 year(s) or tag commander over 0.2 year(s) or mezzobit over 0.2 year(s) or supertag over 0.2 year(s) or super tag over 0.2 year(s) or tag defender over 0.2 year(s) or ubertags over 0.2 year(s) or ddx over 0.2 year(s) ) and(analytics over 0.2 year(s) or data scientist over 0.2 year(s) or informatics over 0.2 year(s) ) and(javascript over 0.2 year(s) or java script over 0.2 year(s) or html over 0.2 year(s) ),1,Tagging,,Search & Data Management
machine learning and tensorflow and statistical model,1,TensorFlow,Machine Learning,Machine Learning & Stats
data science analytics networks machine learning tensorflow,1,TensorFlow,Machine Learning,Machine Learning & Stats
tensor flow,1,TensorFlow,Machine Learning,Machine Learning & Stats
terraform,1,Terraform,Infrastructure Management,Search & Data Management
team setting (including git & unit testing),1,Testing,,Machine Learning & Stats
test,1,Testing,,Machine Learning & Stats
test ng/selenium,1,Testing,,Machine Learning & Stats
test plan,1,Testing,,Machine Learning & Stats
cloud infrastructure and threat intelligenceexperience with data visualization and programming languages,1,Threat Intelligence,Domain Expertise,needs input
tibco,1,TIBCO,Middleware,needs input
typescript,1,TypeScript,,needs input
structured and unstructured data,1,Unstructured Data,Data Acquisition/Management,Search & Data Management
user interface,1,UX/UI,Domain Expertise,needs input
ux,1,UX/UI,Domain Expertise,needs input
vertica,1,Vertica,,Search & Data Management
data analyst and capacity and visualization and sql and azure,1,Visualization,,Data Visualization & Reporting
watson,1,Watson,Artifical Intelligence,needs input
watson data studio,1,Watson,Artifical Intelligence,needs input
watson discovery,1,Watson,Artifical Intelligence,needs input
5+ years of experience in a similar role and experience in web attribution analytics.,1,Web Analytics,,Data Visualization & Reporting
python software developer background; ml; data science; system programming; webservices,1,Web Services,,Search & Data Management
wps or spss or python prefer: sql server,1,WPS,,needs input
xgboot,1,XGBoost,Machine Learning,Machine Learning & Stats
xslt,1,XSLT,,needs input
apache zeppelin,1,Zeppelin,,Collaboration
